date,TSLA_first_hour_vol,mean,std,abs_sentiment_score,news_count,is_option_expiry,is_first_trading_day,is_last_trading_day,is_last_trading_day_of_quarter,Friday,Monday,Thursday,Tuesday,Wednesday,day_total_vol
9/20/2024,2.9619455,0.075283076,0.561109299,0.398895275,3,1,0,0,0,1,0,0,0,0,79586638
9/23/2024,2.7832749,0.034987956,0.279312968,0.1734548,18,0,0,0,0,0,1,0,0,0,78636953
9/24/2024,3.6532474,0.104597252,0.272342416,0.189850895,13,0,0,0,0,0,0,0,1,0,81143078
9/25/2024,2.2972264,0.053433326,0.100368925,0.08028369,4,0,0,0,0,0,0,0,0,1,60872368
9/26/2024,2.3097654,-0.06441343,0.248176561,0.186990876,8,0,0,0,0,0,0,1,0,0,62820797
9/27/2024,1.9839721,0.172717423,0.176282358,0.184997225,10,0,0,0,0,1,0,0,0,0,65134256
9/30/2024,2.5611591,0.042097218,0.623458029,0.496480618,8,0,0,1,1,0,1,0,0,0,75811532
10/1/2024,2.5533756,0.209258486,0.429884599,0.372511665,9,0,1,0,0,0,0,0,1,0,83531688
10/2/2024,3.8780956,-0.018621052,0.348665676,0.235731656,26,0,0,0,0,0,0,0,0,1,90261371
10/3/2024,2.1382081,-0.07722153,0.251488318,0.207900737,22,0,0,0,0,0,0,1,0,0,76266361
10/4/2024,2.7428791,-0.191915156,0.318065951,0.259233333,10,0,0,0,0,1,0,0,0,0,81891267
10/7/2024,1.9605808,0.22120488,0.466024604,0.42878923,11,0,0,0,0,0,1,0,0,0,61553326
10/8/2024,1.9201124,0.155392024,0.382525566,0.312433889,10,0,0,0,0,0,0,0,1,0,51614164
10/9/2024,2.203075,0.144645599,0.245601128,0.194455606,7,0,0,0,0,0,0,0,0,1,63731425
10/10/2024,3.1783416,0.118933117,0.356614672,0.29242959,19,0,0,0,0,0,0,1,0,0,79924235
10/11/2024,6.3796985,0.031521327,0.340650931,0.253169653,50,0,0,0,0,1,0,0,0,0,133175657
10/14/2024,3.8071963,0.116498018,0.36615163,0.279179663,30,0,0,0,0,0,1,0,0,0,82760390
10/15/2024,2.6328427,0.079395798,0.263273673,0.214326667,4,0,0,0,0,0,0,0,1,0,59142611
10/16/2024,2.0003609,-0.120642537,0.329867196,0.220525217,11,0,0,0,0,0,0,0,0,1,47233106
10/17/2024,1.812205,0.255587387,0.392036307,0.287901709,12,0,0,0,0,0,0,1,0,0,46992174
10/18/2024,1.709092,-0.006434838,0.244980212,0.175620586,23,1,0,0,0,1,0,0,0,0,47142683
10/21/2024,1.9608678,0.055256739,0.348726377,0.265444647,17,0,0,0,0,0,1,0,0,0,45171182
10/22/2024,1.3147497,-0.050027011,0.271878347,0.219301297,19,0,0,0,0,0,0,0,1,0,40939196
10/23/2024,1.4735216,0.061093883,0.228605094,0.164730178,15,0,0,0,0,0,0,0,0,1,50521981
10/24/2024,7.3391487,0.320120626,0.36604383,0.371163734,82,0,0,0,0,0,0,1,0,0,190369552
10/25/2024,5.8550919,0.252620357,0.413137008,0.363550822,48,0,0,0,0,1,0,0,0,0,154872134
10/28/2024,3.6117081,0.22486928,0.457692938,0.39170903,45,0,0,0,0,0,1,0,0,0,98488641
10/29/2024,2.4343613,0.075453781,0.330827454,0.22925062,20,0,0,0,0,0,0,0,1,0,76015145
10/30/2024,1.6915416,-0.023937112,0.453608925,0.348961969,14,0,0,0,0,0,0,0,0,1,50615830
10/31/2024,1.9660364,0.014039356,0.499742295,0.423722541,17,0,0,1,0,0,0,1,0,0,59038005
11/1/2024,1.5793046,0.072777775,0.450233542,0.387135492,11,0,1,0,0,1,0,0,0,0,53160425
11/4/2024,2.4784421,0.000193019,0.363222805,0.266338154,20,0,0,0,0,0,1,0,0,0,64422517
11/5/2024,2.3729856,0.103953796,0.241238855,0.199944627,22,0,0,0,0,0,0,0,1,0,61865013
11/6/2024,7.7672528,0.125074507,0.495554746,0.423321471,36,0,0,0,0,0,0,0,0,1,154466991
11/7/2024,3.7395667,0.255479987,0.482558937,0.449333404,37,0,0,0,0,0,0,1,0,0,109836064
11/8/2024,5.1742915,0.303029509,0.305661042,0.354236367,32,0,0,0,0,1,0,0,0,0,195494404
11/11/2024,7.0028742,0.282528046,0.355439124,0.348007776,46,0,0,0,0,0,1,0,0,0,198951576
11/12/2024,4.9876702,0.267104641,0.452739361,0.426406421,32,0,0,0,0,0,0,0,1,0,145371037
11/13/2024,4.7601829,0.119221176,0.371112415,0.301687132,40,0,0,0,0,0,0,0,0,1,120232193
11/14/2024,3.3559892,0.223786279,0.408061838,0.335590065,21,0,0,0,0,0,0,1,0,0,111959708
11/15/2024,3.9399744,-0.094827953,0.254328208,0.191113385,49,1,0,0,0,1,0,0,0,0,109011425
11/18/2024,4.5067823,0.241738479,0.426244142,0.390125747,31,0,0,0,0,0,1,0,0,0,118269756
11/19/2024,2.7783154,0.235451976,0.429811304,0.379862574,30,0,0,0,0,0,0,0,1,0,84962707
11/20/2024,2.203258,0.190712035,0.358757066,0.271672905,15,0,0,0,0,0,0,0,0,1,60868000
11/21/2024,2.2500104,0.020651727,0.376899283,0.302509569,15,0,0,0,0,0,0,1,0,0,56219073
11/22/2024,2.1004015,0.324170302,0.385474628,0.350130163,12,0,0,0,0,1,0,0,0,0,84135149
11/25/2024,3.2041892,0.023683545,0.322033929,0.241698393,35,0,0,0,0,0,1,0,0,0,79261064
11/26/2024,2.1704507,-0.15904256,0.314755222,0.274401764,20,0,0,0,0,0,0,0,1,0,57319283
11/27/2024,1.8443164,0.072309232,0.382762902,0.267795785,12,0,0,0,0,0,0,0,0,1,54698816
11/29/2024,1.4317807,-0.13733572,0.346311633,0.255178515,23,0,0,1,0,1,0,0,0,0,26565234
12/2/2024,2.538196,0.243958875,0.302301252,0.299407128,26,0,1,0,0,0,1,0,0,0,70056287
12/3/2024,1.8361997,-0.112972105,0.464987964,0.396459892,54,0,0,0,0,0,0,0,1,0,52753074
12/4/2024,1.3835859,0.080356785,0.532651334,0.437089479,19,0,0,0,0,0,0,0,0,1,44750332
12/5/2024,3.1697068,0.205857522,0.24927404,0.205857522,8,0,0,0,0,0,0,1,0,0,76902449
12/6/2024,2.3231521,0.273788603,0.630258144,0.608693805,7,0,0,0,0,1,0,0,0,0,73138942
12/9/2024,3.6402843,0.254153542,0.565760286,0.532277131,31,0,0,0,0,0,1,0,0,0,90401386
12/10/2024,3.1986429,0.287603268,0.47066811,0.437246653,13,0,0,0,0,0,0,0,1,0,91578647
12/11/2024,2.7166795,0.391073945,0.381835094,0.460308237,20,0,0,0,0,0,0,0,0,1,94891715
12/12/2024,3.2023065,0.458575508,0.392682513,0.535650914,30,0,0,0,0,0,0,1,0,0,83105268
12/13/2024,2.5402222,0.470100804,0.426778762,0.521322537,15,0,0,0,0,1,0,0,0,0,81622441
